__v,_id,auction.count,auction.ending,auction.id,auction.name,auction.price,auction.seller,id,sales
0,61bcf6d891d31c9d3daa2650,1,1639849785252,PROJECTILE_PROTECTION_7,Projectile Protection 7,2699000,3a93f491e83e4dd9b1d45ab046d7e384,PROJECTILE_PROTECTION_7,"[{""price"":4900000,""count"":1},{""price"":7000000,""count"":1},{""price"":2699000,""count"":1},{""price"":7000000,""count"":1},{""price"":4900000,""count"":1},{""price"":4600000,""count"":1},{""price"":3000000,""count"":1},{""price"":7000000,""count"":1},{""price"":7000000,""count"":1},{""price"":2700000,""count"":1},{""price"":7000000,""count"":1},{""price"":4600000,""count"":1},{""price"":7000000,""count"":1},{""price"":7000000,""count"":1},{""price"":6900000,""count"":1},{""price"":5000000,""count"":1},{""price"":4000000,""count"":1},{""price"":7000000,""count"":1},{""price"":5000000,""count"":1}]"
0,61bcf6d891d31c9d3daa2651,1,1639934900411,LVL_1_EPIC_SPIDER,[lvl 1] Epic Spider,370000,b0a282c21fc045b9b1b03488ba5436a1,LVL_1_EPIC_SPIDER,"[{""price"":450000,""count"":1},{""price"":480000,""count"":1},{""price"":500000,""count"":1},{""price"":500000,""count"":1},{""price"":450000,""count"":1},{""price"":499000,""count"":1},{""price"":500000,""count"":1},{""price"":499000,""count"":1},{""price"":370000,""count"":1},{""price"":400000,""count"":1},{""price"":499000,""count"":1},{""price"":450000,""count"":1},{""price"":500000,""count"":1},{""price"":500000,""count"":1},{""price"":500000,""count"":1},{""price"":499000,""count"":1},{""price"":480000,""count"":1},{""price"":499000,""count"":1},{""price"":480000,""count"":1},{""price"":370000,""count"":1},{""price"":375000,""count"":1},{""price"":400000,""count"":1},{""price"":500000,""count"":1}]"
0,61bcf6d891d31c9d3daa2664,1,1639794444712,RAINBOW_1,Rainbow 1,40000,e30975d5ab224998ade08835582e2990,RAINBOW_1,"[{""price"":58000,""count"":1},{""price"":57000,""count"":1},{""price"":50000,""count"":1},{""price"":59000,""count"":1},{""price"":260000,""count"":1},{""price"":40000,""count"":1}]"
0,61bcf6d891d31c9d3daa266f,1,1639777832975,CHEST_SHELVES,Chest Storage,20000,cba5930656cc4888a69e894347073178,CHEST_SHELVES,"[{""price"":599000,""count"":8},{""price"":30000,""count"":1},{""price"":20000,""count"":1},{""price"":20000,""count"":1},{""price"":20000,""count"":1},{""price"":20000,""count"":1}]"
0,61bcf6d891d31c9d3daa267b,1,1640978352081,EPOCH_CAKE_BLACK,Century Cake Of The Next Dungeon Floor,5500000,0807f197f6ea4ed69a68a90052bf1b35,EPOCH_CAKE_BLACK,"[{""price"":7000000,""count"":1},{""price"":6600000,""count"":1},{""price"":5900000,""count"":1},{""price"":6600000,""count"":1},{""price"":39000000,""count"":1},{""price"":6600000,""count"":1},{""price"":8500000,""count"":1},{""price"":7700000,""count"":1},{""price"":11111111,""count"":1},{""price"":6000000,""count"":1},{""price"":6696420,""count"":1},{""price"":5500000,""count"":1},{""price"":7700000,""count"":1},{""price"":30000000,""count"":1},{""price"":6969696,""count"":1}]"
0,61bcf6d891d31c9d3daa2686,1,1640832859652,PERFECT_FORGE,Reinforced Skin,169000000,37fa68b3a04b48fc802b50ff75ad8c50,PERFECT_FORGE,"[{""price"":178999999,""count"":1},{""price"":172999999,""count"":1},{""price"":171999999,""count"":1},{""price"":230000000,""count"":1},{""price"":176000000,""count"":1},{""price"":260000000,""count"":1},{""price"":235000000,""count"":1},{""price"":172599999,""count"":1},{""price"":169000000,""count"":1},{""price"":170000000,""count"":1},{""price"":240000000,""count"":1}]"
0,61bcf6d891d31c9d3daa2692,1,1639795293265,CULTIVATING_1,Cultivating 1,1650000,5e17887d72f7471b814c67638d649c51,CULTIVATING_1,"[{""price"":3000000,""count"":1},{""price"":1900000,""count"":1},{""price"":1900000,""count"":1},{""price"":2000000,""count"":1},{""price"":2000000,""count"":1},{""price"":1650000,""count"":1},{""price"":1990000,""count"":1},{""price"":1990000,""count"":1},{""price"":2000040,""count"":1},{""price"":1899999,""count"":1},{""price"":2485000,""count"":1},{""price"":2000000,""count"":1},{""price"":1900000,""count"":1},{""price"":2700000,""count"":1},{""price"":1900000,""count"":1},{""price"":1999000,""count"":1},{""price"":2490000,""count"":1}]"
0,61bcf6d891d31c9d3daa269e,1,1639791635695,TURBO_WARTS_2,Turbo Warts 2,85000,440df0064bb54404a12eaedb49c2710f,TURBO_WARTS_2,"[{""price"":199000,""count"":1},{""price"":200000,""count"":1},{""price"":200000,""count"":1},{""price"":199000,""count"":1},{""price"":180000,""count"":1},{""price"":180000,""count"":1},{""price"":199000,""count"":1},{""price"":200000,""count"":1},{""price"":85000,""count"":1}]"
0,61bcf6d891d31c9d3daa26ae,1,1639794568344,REVENANT_CHESTPLATE,Pure Revenant Chestplate,2100000,d72ed654b3c5438b97e05f0528d3e75a,REVENANT_CHESTPLATE,"[{""price"":2400000,""count"":1},{""price"":2700000,""count"":1},{""price"":2700000,""count"":1},{""price"":2700000,""count"":1},{""price"":2800000,""count"":1},{""price"":3500000,""count"":1},{""price"":2700000,""count"":1},{""price"":2600000,""count"":1},{""price"":2100000,""count"":1}]"
0,61bcf6d891d31c9d3daa26b9,1,1640824606336,FIRST_STRIKE_4,First Strike 4,56000000,55b60a2253fd43ab94bc1060357b1459,FIRST_STRIKE_4,"[{""price"":56000000,""count"":1},{""price"":56000000,""count"":1},{""price"":60000000,""count"":1}]"
0,61bcf6d891d31c9d3daa26c1,1,1639910699465,LVL_100_EPIC_ARMADILLO,[lvl 100] Epic Armadillo,5339393,c2d56bfa7a014dde9de53b830152ae91,LVL_100_EPIC_ARMADILLO,"[{""price"":5999000,""count"":1},{""price"":5339393,""count"":1},{""price"":5999000,""count"":1},{""price"":6000000,""count"":1}]"
0,61bcf6d891d31c9d3daa26cc,1,1639795033256,LVL_1_EPIC_WOLF,[lvl 1] Epic Wolf,180000,4903a523446346cdbe0a2c0a09826a91,LVL_1_EPIC_WOLF,"[{""price"":300000,""count"":1},{""price"":265000,""count"":1},{""price"":300000,""count"":1},{""price"":350000,""count"":1},{""price"":300000,""count"":1},{""price"":265000,""count"":1},{""price"":300000,""count"":1},{""price"":300000,""count"":1},{""price"":400000,""count"":1},{""price"":300000,""count"":1},{""price"":180000,""count"":1},{""price"":5000000,""count"":1},{""price"":300000,""count"":1},{""price"":190000,""count"":1},{""price"":2000000,""count"":1},{""price"":200000,""count"":1}]"
0,61bcf6d891d31c9d3daa26d8,1,1639946387824,TURBO_WARTS_3,Turbo Warts 3,140000,2d8b7cfb51aa4d4a85aab1456b506c33,TURBO_WARTS_3,"[{""price"":250000,""count"":1},{""price"":270000,""count"":1},{""price"":200000,""count"":1},{""price"":239000,""count"":1},{""price"":250000,""count"":1},{""price"":200000,""count"":1},{""price"":250000,""count"":1},{""price"":140000,""count"":1},{""price"":270000,""count"":1},{""price"":150000,""count"":1},{""price"":275000,""count"":1},{""price"":190000,""count"":1},{""price"":275000,""count"":1}]"
0,61bcf6d891d31c9d3daa26e0,64,1639794337420,DOUBLE_PLANT:5,Peony,320,ce2473a97a414182ace21fdf3b7158d6,DOUBLE_PLANT:5,"[{""price"":320,""count"":64},{""price"":320,""count"":64}]"
0,61bcf6d891d31c9d3daa26ec,1,1639794724900,BLESSING_5,Blessing 5,16999,53e2b3b967e049d89bb49a46c3c59b59,BLESSING_5,"[{""price"":16999,""count"":1},{""price"":17000,""count"":1},{""price"":20000,""count"":1}]"
0,61bcf6d891d31c9d3daa26f7,1,1639855065773,PET_SKIN_YETI_GROWN_UP,Grown-up Baby Yeti Skin,270000000,44876e9dc6ed4251a140829416d0cfb8,PET_SKIN_YETI_GROWN_UP,"[{""price"":270000000,""count"":1},{""price"":297600000,""count"":1}]"
0,61bcf6d891d31c9d3daa2703,1,1639859036144,PRISTINE_2,Pristine 2,2850000,025f6e4292004a78916cb3b18984feec,PRISTINE_2,"[{""price"":2850000,""count"":1},{""price"":3100000,""count"":1},{""price"":3200000,""count"":1},{""price"":3100000,""count"":1},{""price"":2900000,""count"":1},{""price"":2850000,""count"":1},{""price"":2899999,""count"":1},{""price"":2900000,""count"":1},{""price"":3200000,""count"":1},{""price"":3100000,""count"":1},{""price"":2850000,""count"":1},{""price"":3100000,""count"":1},{""price"":2850000,""count"":1},{""price"":3100000,""count"":1},{""price"":3100000,""count"":1}]"
0,61bcf6d891d31c9d3daa270f,1,1640032934602,WARDEN_HEART,Warden Heart,270000000,35f38d228d194c26ba369896c5c61c95,WARDEN_HEART,"[{""price"":289999000,""count"":1},{""price"":271000000,""count"":1},{""price"":273000000,""count"":1},{""price"":271999000,""count"":1},{""price"":324000000,""count"":1},{""price"":345000000,""count"":1},{""price"":273000000,""count"":1},{""price"":270000000,""count"":1},{""price"":329990000,""count"":1},{""price"":273500000,""count"":1},{""price"":274222222,""count"":1},{""price"":300000000,""count"":1},{""price"":274222222,""count"":1},{""price"":285000000,""count"":1},{""price"":271900000,""count"":1},{""price"":271900000,""count"":1},{""price"":290000000,""count"":1},{""price"":280000000,""count"":1},{""price"":272900000,""count"":1},{""price"":350000000,""count"":1},{""price"":271000000,""count"":1},{""price"":271999000,""count"":1},{""price"":285000000,""count"":1},{""price"":274222222,""count"":1},{""price"":274000000,""count"":1},{""price"":290000000,""count"":1},{""price"":285000000,""count"":1},{""price"":272699000,""count"":1},{""price"":274000000,""count"":1},{""price"":280000000,""count"":1},{""price"":324000000,""count"":1},{""price"":290000000,""count"":1},{""price"":278498888,""count"":1},{""price"":274222222,""count"":1}]"
