__v,_id,buyOrders,buyPrice,buyVolume,id,name,sellOrders,sellPrice,sellVolume
0,614ba235afe1ed4d9d5c0b62,91,25866.1,24822,ENCHANTED_MELON_BLOCK,Enchanted Melon Block,30,25383.6,72056
0,614ba235afe1ed4d9d5c0b90,41,99834.46133032694,5249,POWER_CRYSTAL,Power Crystal,133,83225.63993127148,22983
0,614ba235afe1ed4d9d5c0ba8,201,198.62508143322472,213061,RAW_SOULFLOW,Raw Soulflow,100,189.76993429893983,638891
0,614ba235afe1ed4d9d5c0be7,136,8.6,1032313,DIAMOND,Diamond,129,7.836268491292708,7491220
0,614ba235afe1ed4d9d5c0c29,34,31857.700000000004,1366,WISE_FRAGMENT,Wise Fragment,60,26449.905466666667,17039
0,614ba235afe1ed4d9d5c0c44,100,952.1487770077457,201586,SHARK_FIN,Shark Fin,218,226.80016586326647,861628
0,614ba235afe1ed4d9d5c0c61,58,8.697820150278742,509561,COBBLESTONE,Cobblestone,19,6.550579250870175,532868
0,614ba235afe1ed4d9d5c0c75,48,372155.55526315793,1804,REFINED_MITHRIL,Refined Mithril,223,357420.0160655738,15238
0,614ba235afe1ed4d9d5c0c8a,74,15.325669682828943,3262134,RAW_FISH,Raw Fish,85,12.841822487644153,4191421
0,614ba235afe1ed4d9d5c0c9e,55,5.294124539413842,1025475,SPIDER_EYE,Spider Eye,52,3.0421564359309246,3308437
0,614ba236afe1ed4d9d5c0cb1,10,10400858.885714287,137,PERFECT_RUBY_GEM,Perfect Ruby Gem,89,4391693.999086162,37133
0,614ba236afe1ed4d9d5c0cc4,110,2399.5425567238517,56267,ENCHANTED_PUFFERFISH,Enchanted Pufferfish,35,2359.4154956350326,157956
0,614ba236afe1ed4d9d5c0cd8,94,548.5780405405405,45896,YOGGIE,Yoggie,12,395.5371763754045,90089
0,614ba236afe1ed4d9d5c0cef,36,35782385.35384615,305,PERFECT_JASPER_GEM,Perfect Jasper Gem,195,502940.8939169308,2398483
0,614ba236afe1ed4d9d5c0d02,34,3.996600741656366,621571,POTATO_ITEM,Potato Item,30,2.1365340525960894,1575504
0,614ba236afe1ed4d9d5c0d16,104,511.9960134432971,134499,ENCHANTED_NETHERRACK,Enchanted Netherrack,13,500.3107068172312,136543
0,614ba236afe1ed4d9d5c0d29,68,38324.70111111111,13224,ENCHANTED_HUGE_MUSHROOM_1,Enchanted Huge Mushroom 1,81,31989.94247211896,25694
