__v,_id,name,networth.rank,networth.total,uuid
0,61ab808a0d4bb82fdd57cd6b,zZzSNOW,127,20823766158.308453,637c355ef3fc4eeb88c2a7c18c0bf815
0,61aba2d90d4bb82fdd693abb,fowdy,17,46160633062.715546,885c77cebb29471b95e3516d1118bc76
0,61abbae80d4bb82fdd7583f2,Kwokkie89,131,20428595868.379707,a32f8eb1aff649aeb340782a0fbae688
0,61ac07870d4bb82fdd9d27b4,JPMB2017,100,23211543451.068783,f6e692236cfb4f0c91397bd19e513bef
0,61ac25010d4bb82fddac717a,EndCredit,73,25488104355.83515,f44b995d0ccb4e14b39feca2be48ec3b
0,61ac26fc0d4bb82fddad7504,MoreMoleOwO,122,21199122052.059772,5470c6624aa34a4fae94b340a8a31abc
0,61ac39570d4bb82fddb6da3d,Ealman,16,47044704262.79562,04cd3f240c7f42009b3398fba995c3a6
0,61ac48730d4bb82fddbeac16,dvnv_YOUTUBE,76,25417857225.35736,3f6848c6fb7b4f76baf70992a76f8c78
0,61ac9aa20d4bb82fdde6044a,Xqf,112,21960591322.50325,2e9971217d894aa9beff00434843fe07
0,61aca1610d4bb82fdde9349e,AstillaPrime,63,26883461485.25233,14ea1a9c35114b168e1ce98ca5ca3f72
0,61acac1f0d4bb82fddef02ac,DeaconHo,137,20106861337.736866,087b48ed055746c19486b9e2fc395688
0,61acfdf70d4bb82fdd18fea5,wontonx,84,24602674129.856026,9ce319ff43974f038a838d08fbeed1a9
0,61ad21280d4bb82fdd2b87b7,its_Eleminator,114,21813141696.83759,bfb22536d43a4be8a14e9bd11ad1a1db
0,61ad5c3a0d4bb82fdd49d19e,Terasteel,22,40895528769.65701,88fec3c939904ec8a07890f342253d4d
0,61adb2870d4bb82fdd743e4c,J3nda_,83,24861589926.959866,d73ef7a2e17442ac939aa8a845646df9
0,61adb85c0d4bb82fdd775c38,QuadRec,135,20199834863.870934,28aacb7a9e394280ad99619c5c47905d
